gtin,sku,description,locationGln,locationName,quantityOnHand,uom,status
00012345600067,SKU-WOOF-006-070,Indestructible Chew Toy (Ha Right),0614141000050,Bulldog Bulk Warehouse,804,EA,active
00012345600074,SKU-WOOF-007-071,Self-Cleaning Dog Bath Station,0614141000012,Golden Retriever Distribution Center,728,EA,reserved
00012345600081,SKU-WOOF-008-072,AI-Powered Smart Dog Door,0614141000029,Labrador Logistics Hub,898,CS,active
00012345600012,SKU-WOOF-001-073,Premium Belly Rub Machine,0614141000036,German Shepherd Sorting Facility,949,EA,reserved
00012345600029,SKU-WOOF-002-074,Tennis Ball Launcher 3000,0614141000043,Poodle Processing Center,281,EA,low_stock
00012345600036,SKU-WOOF-003-075,Squirrel Detection Radar,0614141000050,Bulldog Bulk Warehouse,448,EA,active
00012345600043,SKU-WOOF-004-076,Anti-Mailman Defense System,0614141000012,Golden Retriever Distribution Center,1372,CS,reserved
00012345600050,SKU-WOOF-005-077,Automatic Treat Dispenser Pro,0614141000029,Labrador Logistics Hub,550,EA,low_stock
00012345600067,SKU-WOOF-006-078,Indestructible Chew Toy (Ha Right),0614141000036,German Shepherd Sorting Facility,750,EA,active
00012345600074,SKU-WOOF-007-079,Self-Cleaning Dog Bath Station,0614141000043,Poodle Processing Center,731,EA,active
00012345600081,SKU-WOOF-008-080,AI-Powered Smart Dog Door,0614141000050,Bulldog Bulk Warehouse,382,EA,active
00012345600012,SKU-WOOF-001-081,Premium Belly Rub Machine,0614141000012,Golden Retriever Distribution Center,845,CS,active
00012345600029,SKU-WOOF-002-082,Tennis Ball Launcher 3000,0614141000029,Labrador Logistics Hub,576,EA,active
00012345600036,SKU-WOOF-003-083,Squirrel Detection Radar,0614141000036,German Shepherd Sorting Facility,943,CS,reserved
00012345600043,SKU-WOOF-004-084,Anti-Mailman Defense System,0614141000043,Poodle Processing Center,339,EA,active
00012345600050,SKU-WOOF-005-085,Automatic Treat Dispenser Pro,0614141000050,Bulldog Bulk Warehouse,916,EA,active
00012345600067,SKU-WOOF-006-086,Indestructible Chew Toy (Ha Right),0614141000012,Golden Retriever Distribution Center,1010,EA,active
00012345600074,SKU-WOOF-007-087,Self-Cleaning Dog Bath Station,0614141000029,Labrador Logistics Hub,703,EA,active
00012345600081,SKU-WOOF-008-088,AI-Powered Smart Dog Door,0614141000036,German Shepherd Sorting Facility,1342,CS,active
00012345600012,SKU-WOOF-001-089,Premium Belly Rub Machine,0614141000043,Poodle Processing Center,1427,EA,active
00012345600029,SKU-WOOF-002-090,Tennis Ball Launcher 3000,0614141000050,Bulldog Bulk Warehouse,218,CS,active
00012345600036,SKU-WOOF-003-091,Squirrel Detection Radar,0614141000012,Golden Retriever Distribution Center,107,EA,active
00012345600043,SKU-WOOF-004-092,Anti-Mailman Defense System,0614141000029,Labrador Logistics Hub,1343,EA,active
00012345600050,SKU-WOOF-005-093,Automatic Treat Dispenser Pro,0614141000036,German Shepherd Sorting Facility,316,EA,active
00012345600067,SKU-WOOF-006-094,Indestructible Chew Toy (Ha Right),0614141000043,Poodle Processing Center,1124,EA,active
00012345600074,SKU-WOOF-007-095,Self-Cleaning Dog Bath Station,0614141000050,Bulldog Bulk Warehouse,500,EA,reserved
00012345600081,SKU-WOOF-008-096,AI-Powered Smart Dog Door,0614141000012,Golden Retriever Distribution Center,1296,EA,active
00012345600012,SKU-WOOF-001-097,Premium Belly Rub Machine,0614141000029,Labrador Logistics Hub,1046,EA,low_stock
00012345600029,SKU-WOOF-002-098,Tennis Ball Launcher 3000,0614141000036,German Shepherd Sorting Facility,797,EA,low_stock
00012345600036,SKU-WOOF-003-099,Squirrel Detection Radar,0614141000043,Poodle Processing Center,1210,EA,active
00012345600043,SKU-WOOF-004-100,Anti-Mailman Defense System,0614141000050,Bulldog Bulk Warehouse,1317,EA,active
00012345600050,SKU-WOOF-005-101,Automatic Treat Dispenser Pro,0614141000012,Golden Retriever Distribution Center,1360,PL,active
00012345600067,SKU-WOOF-006-102,Indestructible Chew Toy (Ha Right),0614141000029,Labrador Logistics Hub,986,EA,active
00012345600074,SKU-WOOF-007-103,Self-Cleaning Dog Bath Station,0614141000036,German Shepherd Sorting Facility,494,CS,active
00012345600081,SKU-WOOF-008-104,AI-Powered Smart Dog Door,0614141000043,Poodle Processing Center,1096,EA,low_stock
00012345600012,SKU-WOOF-001-105,Premium Belly Rub Machine,0614141000050,Bulldog Bulk Warehouse,667,EA,active
00012345600029,SKU-WOOF-002-106,Tennis Ball Launcher 3000,0614141000012,Golden Retriever Distribution Center,82,EA,active
00012345600036,SKU-WOOF-003-107,Squirrel Detection Radar,0614141000029,Labrador Logistics Hub,532,CS,active
00012345600043,SKU-WOOF-004-108,Anti-Mailman Defense System,0614141000036,German Shepherd Sorting Facility,1137,CS,active
00012345600050,SKU-WOOF-005-109,Automatic Treat Dispenser Pro,0614141000043,Poodle Processing Center,1224,CS,reserved
00012345600067,SKU-WOOF-006-110,Indestructible Chew Toy (Ha Right),0614141000050,Bulldog Bulk Warehouse,524,EA,active
00012345600074,SKU-WOOF-007-111,Self-Cleaning Dog Bath Station,0614141000012,Golden Retriever Distribution Center,996,EA,reserved
00012345600081,SKU-WOOF-008-112,AI-Powered Smart Dog Door,0614141000029,Labrador Logistics Hub,103,EA,reserved
00012345600012,SKU-WOOF-001-113,Premium Belly Rub Machine,0614141000036,German Shepherd Sorting Facility,588,PL,reserved
00012345600029,SKU-WOOF-002-114,Tennis Ball Launcher 3000,0614141000043,Poodle Processing Center,694,CS,active
00012345600036,SKU-WOOF-003-115,Squirrel Detection Radar,0614141000050,Bulldog Bulk Warehouse,428,EA,active
00012345600043,SKU-WOOF-004-116,Anti-Mailman Defense System,0614141000012,Golden Retriever Distribution Center,441,EA,low_stock
00012345600050,SKU-WOOF-005-117,Automatic Treat Dispenser Pro,0614141000029,Labrador Logistics Hub,198,EA,active
00012345600067,SKU-WOOF-006-118,Indestructible Chew Toy (Ha Right),0614141000036,German Shepherd Sorting Facility,863,EA,low_stock
00012345600074,SKU-WOOF-007-119,Self-Cleaning Dog Bath Station,0614141000043,Poodle Processing Center,741,EA,active
00012345600081,SKU-WOOF-008-120,AI-Powered Smart Dog Door,0614141000050,Bulldog Bulk Warehouse,278,EA,low_stock
00012345600012,SKU-WOOF-001-121,Premium Belly Rub Machine,0614141000012,Golden Retriever Distribution Center,855,CS,low_stock
00012345600029,SKU-WOOF-002-122,Tennis Ball Launcher 3000,0614141000029,Labrador Logistics Hub,326,EA,low_stock
00012345600036,SKU-WOOF-003-123,Squirrel Detection Radar,0614141000036,German Shepherd Sorting Facility,247,EA,active
00012345600043,SKU-WOOF-004-124,Anti-Mailman Defense System,0614141000043,Poodle Processing Center,847,EA,active
00012345600050,SKU-WOOF-005-125,Automatic Treat Dispenser Pro,0614141000050,Bulldog Bulk Warehouse,859,PL,active
00012345600067,SKU-WOOF-006-126,Indestructible Chew Toy (Ha Right),0614141000012,Golden Retriever Distribution Center,254,EA,low_stock
00012345600074,SKU-WOOF-007-127,Self-Cleaning Dog Bath Station,0614141000029,Labrador Logistics Hub,228,EA,low_stock
00012345600081,SKU-WOOF-008-128,AI-Powered Smart Dog Door,0614141000036,German Shepherd Sorting Facility,54,EA,reserved
00012345600012,SKU-WOOF-001-129,Premium Belly Rub Machine,0614141000043,Poodle Processing Center,1245,EA,active
00012345600029,SKU-WOOF-002-130,Tennis Ball Launcher 3000,0614141000050,Bulldog Bulk Warehouse,411,EA,low_stock
00012345600036,SKU-WOOF-003-131,Squirrel Detection Radar,0614141000012,Golden Retriever Distribution Center,690,EA,active
00012345600043,SKU-WOOF-004-132,Anti-Mailman Defense System,0614141000029,Labrador Logistics Hub,1322,EA,active
00012345600050,SKU-WOOF-005-133,Automatic Treat Dispenser Pro,0614141000036,German Shepherd Sorting Facility,1407,EA,low_stock
00012345600067,SKU-WOOF-006-134,Indestructible Chew Toy (Ha Right),0614141000043,Poodle Processing Center,409,CS,active
00012345600074,SKU-WOOF-007-135,Self-Cleaning Dog Bath Station,0614141000050,Bulldog Bulk Warehouse,226,EA,active
00012345600081,SKU-WOOF-008-136,AI-Powered Smart Dog Door,0614141000012,Golden Retriever Distribution Center,1483,CS,active
00012345600012,SKU-WOOF-001-137,Premium Belly Rub Machine,0614141000029,Labrador Logistics Hub,507,CS,reserved
00012345600029,SKU-WOOF-002-138,Tennis Ball Launcher 3000,0614141000036,German Shepherd Sorting Facility,912,EA,low_stock
00012345600036,SKU-WOOF-003-139,Squirrel Detection Radar,0614141000043,Poodle Processing Center,346,EA,reserved
00012345600043,SKU-WOOF-004-140,Anti-Mailman Defense System,0614141000050,Bulldog Bulk Warehouse,1139,CS,reserved
00012345600050,SKU-WOOF-005-141,Automatic Treat Dispenser Pro,0614141000012,Golden Retriever Distribution Center,295,EA,active
00012345600067,SKU-WOOF-006-142,Indestructible Chew Toy (Ha Right),0614141000029,Labrador Logistics Hub,502,EA,active
00012345600074,SKU-WOOF-007-143,Self-Cleaning Dog Bath Station,0614141000036,German Shepherd Sorting Facility,1387,EA,active
00012345600081,SKU-WOOF-008-144,AI-Powered Smart Dog Door,0614141000043,Poodle Processing Center,977,EA,active
00012345600012,SKU-WOOF-001-145,Premium Belly Rub Machine,0614141000050,Bulldog Bulk Warehouse,1285,EA,active
00012345600029,SKU-WOOF-002-146,Tennis Ball Launcher 3000,0614141000012,Golden Retriever Distribution Center,1281,CS,active
00012345600036,SKU-WOOF-003-147,Squirrel Detection Radar,0614141000029,Labrador Logistics Hub,1191,EA,active
00012345600043,SKU-WOOF-004-148,Anti-Mailman Defense System,0614141000036,German Shepherd Sorting Facility,903,EA,active
00012345600050,SKU-WOOF-005-149,Automatic Treat Dispenser Pro,0614141000043,Poodle Processing Center,1222,EA,low_stock
00012345600067,SKU-WOOF-006-150,Indestructible Chew Toy (Ha Right),0614141000050,Bulldog Bulk Warehouse,1442,CS,active
00012345600074,SKU-WOOF-007-151,Self-Cleaning Dog Bath Station,0614141000012,Golden Retriever Distribution Center,899,EA,active
00012345600081,SKU-WOOF-008-152,AI-Powered Smart Dog Door,0614141000029,Labrador Logistics Hub,506,CS,active
00012345600012,SKU-WOOF-001-153,Premium Belly Rub Machine,0614141000036,German Shepherd Sorting Facility,1265,CS,active
00012345600029,SKU-WOOF-002-154,Tennis Ball Launcher 3000,0614141000043,Poodle Processing Center,613,EA,active
00012345600036,SKU-WOOF-003-155,Squirrel Detection Radar,0614141000050,Bulldog Bulk Warehouse,118,EA,active
00012345600043,SKU-WOOF-004-156,Anti-Mailman Defense System,0614141000012,Golden Retriever Distribution Center,1004,CS,active
00012345600050,SKU-WOOF-005-157,Automatic Treat Dispenser Pro,0614141000029,Labrador Logistics Hub,502,EA,reserved
00012345600067,SKU-WOOF-006-158,Indestructible Chew Toy (Ha Right),0614141000036,German Shepherd Sorting Facility,455,EA,low_stock
00012345600074,SKU-WOOF-007-159,Self-Cleaning Dog Bath Station,0614141000043,Poodle Processing Center,583,EA,active
00012345600081,SKU-WOOF-008-160,AI-Powered Smart Dog Door,0614141000050,Bulldog Bulk Warehouse,1060,EA,low_stock
00012345600012,SKU-WOOF-001-161,Premium Belly Rub Machine,0614141000012,Golden Retriever Distribution Center,1435,EA,active
00012345600029,SKU-WOOF-002-162,Tennis Ball Launcher 3000,0614141000029,Labrador Logistics Hub,1006,EA,active
00012345600036,SKU-WOOF-003-163,Squirrel Detection Radar,0614141000036,German Shepherd Sorting Facility,769,EA,active
00012345600043,SKU-WOOF-004-164,Anti-Mailman Defense System,0614141000043,Poodle Processing Center,1042,EA,active
00012345600050,SKU-WOOF-005-165,Automatic Treat Dispenser Pro,0614141000050,Bulldog Bulk Warehouse,1307,EA,active
00012345600067,SKU-WOOF-006-166,Indestructible Chew Toy (Ha Right),0614141000012,Golden Retriever Distribution Center,1325,EA,active
00012345600074,SKU-WOOF-007-167,Self-Cleaning Dog Bath Station,0614141000029,Labrador Logistics Hub,69,CS,active
00012345600081,SKU-WOOF-008-168,AI-Powered Smart Dog Door,0614141000036,German Shepherd Sorting Facility,291,EA,low_stock
00012345600012,SKU-WOOF-001-169,Premium Belly Rub Machine,0614141000043,Poodle Processing Center,851,CS,active
00012345600029,SKU-WOOF-002-170,Tennis Ball Launcher 3000,0614141000050,Bulldog Bulk Warehouse,660,EA,active
00012345600036,SKU-WOOF-003-171,Squirrel Detection Radar,0614141000012,Golden Retriever Distribution Center,1085,EA,active
00012345600043,SKU-WOOF-004-172,Anti-Mailman Defense System,0614141000029,Labrador Logistics Hub,999,EA,low_stock
00012345600050,SKU-WOOF-005-173,Automatic Treat Dispenser Pro,0614141000036,German Shepherd Sorting Facility,52,CS,active
00012345600067,SKU-WOOF-006-174,Indestructible Chew Toy (Ha Right),0614141000043,Poodle Processing Center,1368,EA,active
00012345600074,SKU-WOOF-007-175,Self-Cleaning Dog Bath Station,0614141000050,Bulldog Bulk Warehouse,643,CS,active
00012345600081,SKU-WOOF-008-176,AI-Powered Smart Dog Door,0614141000012,Golden Retriever Distribution Center,695,EA,active
00012345600012,SKU-WOOF-001-177,Premium Belly Rub Machine,0614141000029,Labrador Logistics Hub,1224,CS,low_stock
00012345600029,SKU-WOOF-002-178,Tennis Ball Launcher 3000,0614141000036,German Shepherd Sorting Facility,1384,CS,active
00012345600036,SKU-WOOF-003-179,Squirrel Detection Radar,0614141000043,Poodle Processing Center,862,EA,active
00012345600043,SKU-WOOF-004-180,Anti-Mailman Defense System,0614141000050,Bulldog Bulk Warehouse,1292,EA,active
00012345600050,SKU-WOOF-005-181,Automatic Treat Dispenser Pro,0614141000012,Golden Retriever Distribution Center,286,CS,active
00012345600067,SKU-WOOF-006-182,Indestructible Chew Toy (Ha Right),0614141000029,Labrador Logistics Hub,1099,EA,active
00012345600074,SKU-WOOF-007-183,Self-Cleaning Dog Bath Station,0614141000036,German Shepherd Sorting Facility,446,EA,active
00012345600081,SKU-WOOF-008-184,AI-Powered Smart Dog Door,0614141000043,Poodle Processing Center,528,EA,active
00012345600012,SKU-WOOF-001-185,Premium Belly Rub Machine,0614141000050,Bulldog Bulk Warehouse,665,EA,active
00012345600029,SKU-WOOF-002-186,Tennis Ball Launcher 3000,0614141000012,Golden Retriever Distribution Center,856,EA,active
00012345600036,SKU-WOOF-003-187,Squirrel Detection Radar,0614141000029,Labrador Logistics Hub,1437,EA,active
00012345600043,SKU-WOOF-004-188,Anti-Mailman Defense System,0614141000036,German Shepherd Sorting Facility,422,CS,active
00012345600050,SKU-WOOF-005-189,Automatic Treat Dispenser Pro,0614141000043,Poodle Processing Center,1264,EA,active
00012345600067,SKU-WOOF-006-190,Indestructible Chew Toy (Ha Right),0614141000050,Bulldog Bulk Warehouse,1078,CS,active
00012345600074,SKU-WOOF-007-191,Self-Cleaning Dog Bath Station,0614141000012,Golden Retriever Distribution Center,354,EA,active
00012345600081,SKU-WOOF-008-192,AI-Powered Smart Dog Door,0614141000029,Labrador Logistics Hub,946,EA,low_stock
00012345600012,SKU-WOOF-001-193,Premium Belly Rub Machine,0614141000036,German Shepherd Sorting Facility,783,CS,reserved
00012345600029,SKU-WOOF-002-194,Tennis Ball Launcher 3000,0614141000043,Poodle Processing Center,319,EA,low_stock
00012345600036,SKU-WOOF-003-195,Squirrel Detection Radar,0614141000050,Bulldog Bulk Warehouse,1059,PL,active
00012345600043,SKU-WOOF-004-196,Anti-Mailman Defense System,0614141000012,Golden Retriever Distribution Center,513,EA,active
00012345600050,SKU-WOOF-005-197,Automatic Treat Dispenser Pro,0614141000029,Labrador Logistics Hub,336,EA,low_stock
00012345600067,SKU-WOOF-006-198,Indestructible Chew Toy (Ha Right),0614141000036,German Shepherd Sorting Facility,595,PL,active
00012345600074,SKU-WOOF-007-199,Self-Cleaning Dog Bath Station,0614141000043,Poodle Processing Center,1130,EA,active
00012345600081,SKU-WOOF-008-200,AI-Powered Smart Dog Door,0614141000050,Bulldog Bulk Warehouse,333,EA,reserved
00012345600012,SKU-WOOF-001-201,Premium Belly Rub Machine,0614141000012,Golden Retriever Distribution Center,1114,EA,active
00012345600029,SKU-WOOF-002-202,Tennis Ball Launcher 3000,0614141000029,Labrador Logistics Hub,759,EA,active
00012345600036,SKU-WOOF-003-203,Squirrel Detection Radar,0614141000036,German Shepherd Sorting Facility,398,EA,active
00012345600043,SKU-WOOF-004-204,Anti-Mailman Defense System,0614141000043,Poodle Processing Center,610,EA,active
00012345600050,SKU-WOOF-005-205,Automatic Treat Dispenser Pro,0614141000050,Bulldog Bulk Warehouse,1229,EA,active
00012345600067,SKU-WOOF-006-206,Indestructible Chew Toy (Ha Right),0614141000012,Golden Retriever Distribution Center,1134,EA,active
00012345600074,SKU-WOOF-007-207,Self-Cleaning Dog Bath Station,0614141000029,Labrador Logistics Hub,588,EA,active
00012345600081,SKU-WOOF-008-208,AI-Powered Smart Dog Door,0614141000036,German Shepherd Sorting Facility,1434,EA,low_stock
00012345600012,SKU-WOOF-001-209,Premium Belly Rub Machine,0614141000043,Poodle Processing Center,1287,EA,active
00012345600029,SKU-WOOF-002-210,Tennis Ball Launcher 3000,0614141000050,Bulldog Bulk Warehouse,925,EA,active
00012345600036,SKU-WOOF-003-211,Squirrel Detection Radar,0614141000012,Golden Retriever Distribution Center,1024,PL,active
00012345600043,SKU-WOOF-004-212,Anti-Mailman Defense System,0614141000029,Labrador Logistics Hub,1366,EA,active
00012345600050,SKU-WOOF-005-213,Automatic Treat Dispenser Pro,0614141000036,German Shepherd Sorting Facility,206,EA,low_stock
00012345600067,SKU-WOOF-006-214,Indestructible Chew Toy (Ha Right),0614141000043,Poodle Processing Center,550,CS,low_stock
00012345600074,SKU-WOOF-007-215,Self-Cleaning Dog Bath Station,0614141000050,Bulldog Bulk Warehouse,113,EA,reserved
00012345600081,SKU-WOOF-008-216,AI-Powered Smart Dog Door,0614141000012,Golden Retriever Distribution Center,1315,EA,active
00012345600012,SKU-WOOF-001-217,Premium Belly Rub Machine,0614141000029,Labrador Logistics Hub,66,EA,reserved
00012345600029,SKU-WOOF-002-218,Tennis Ball Launcher 3000,0614141000036,German Shepherd Sorting Facility,864,EA,active
00012345600036,SKU-WOOF-003-219,Squirrel Detection Radar,0614141000043,Poodle Processing Center,672,EA,reserved
00012345600043,SKU-WOOF-004-220,Anti-Mailman Defense System,0614141000050,Bulldog Bulk Warehouse,433,EA,active
00012345600050,SKU-WOOF-005-221,Automatic Treat Dispenser Pro,0614141000012,Golden Retriever Distribution Center,1301,EA,low_stock
00012345600067,SKU-WOOF-006-222,Indestructible Chew Toy (Ha Right),0614141000029,Labrador Logistics Hub,203,EA,active
00012345600074,SKU-WOOF-007-223,Self-Cleaning Dog Bath Station,0614141000036,German Shepherd Sorting Facility,298,EA,low_stock
00012345600081,SKU-WOOF-008-224,AI-Powered Smart Dog Door,0614141000043,Poodle Processing Center,1469,EA,active
00012345600012,SKU-WOOF-001-225,Premium Belly Rub Machine,0614141000050,Bulldog Bulk Warehouse,613,EA,active
00012345600029,SKU-WOOF-002-226,Tennis Ball Launcher 3000,0614141000012,Golden Retriever Distribution Center,623,CS,active
00012345600036,SKU-WOOF-003-227,Squirrel Detection Radar,0614141000029,Labrador Logistics Hub,242,EA,active
00012345600043,SKU-WOOF-004-228,Anti-Mailman Defense System,0614141000036,German Shepherd Sorting Facility,1264,EA,low_stock
